Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Quarter,Year
2022-12-31,BLCO,-1572600.0,0.2621,604000000.0,6000000.0,379000000.0,1384000000.0,598000000.0,219000000.0,-140000000.0,146000000.0,10427400.0,6000000.0,3549000000.0,350000000.0,350000000.0,0.02,0.02,6000000.0,6000000.0,6000000.0,15000000.0,15000000.0,58000000.0,73000000.0,-140000000.0,146000000.0,219000000.0,2030000000.0,308000000.0,1478000000.0,2249000000.0,1519000000.0,3768000000.0,3746000000.0,4,2022
2021-12-31,BLCO,-9433962.264151,0.393082,757000000.0,182000000.0,415000000.0,1344000000.0,733000000.0,318000000.0,0.0,0.0,196566037.735849,182000000.0,3424000000.0,350000000.0,350000000.0,0.52,0.52,182000000.0,182000000.0,182000000.0,193000000.0,193000000.0,125000000.0,318000000.0,0.0,0.0,341000000.0,1957000000.0,276000000.0,1389000000.0,2298000000.0,1467000000.0,3765000000.0,3737000000.0,4,2021
2024-12-31,COO,-1695200.0,0.326,1076900000.0,392300000.0,375100000.0,1125800000.0,1071700000.0,696600000.0,-114300000.0,114300000.0,395804800.0,392300000.0,3189700000.0,200400000.0,198900000.0,1.96,1.97,392300000.0,392300000.0,392300000.0,392300000.0,392300000.0,190000000.0,582300000.0,-114300000.0,114300000.0,705700000.0,1890000000.0,155100000.0,1533700000.0,2595700000.0,1299700000.0,3895400000.0,3895400000.0,4,2024
2023-12-31,COO,-2009000.0,0.287,892900000.0,294200000.0,367700000.0,1053800000.0,885900000.0,518200000.0,-105300000.0,105300000.0,299191000.0,294200000.0,3060100000.0,199200000.0,198096596.0,1.4775,1.485134,294200000.0,294200000.0,294200000.0,294200000.0,294200000.0,118700000.0,412900000.0,-105300000.0,105300000.0,533100000.0,1824800000.0,137400000.0,1501200000.0,2357900000.0,1235300000.0,3593200000.0,3593200000.0,4,2023
2022-12-31,COO,0.0,0.188302,878700000.0,385800000.0,346100000.0,1002200000.0,878700000.0,532600000.0,-57300000.0,57300000.0,385800000.0,385800000.0,2800800000.0,198800000.0,197200000.0,1.94,1.956389,385800000.0,385800000.0,385800000.0,385800000.0,385800000.0,89500000.0,475300000.0,-57300000.0,57300000.0,507600000.0,1632000000.0,110300000.0,1342200000.0,2139600000.0,1168800000.0,3308400000.0,3308400000.0,4,2022
2021-12-31,COO,0.0,0.27,823900000.0,2944700000.0,309300000.0,803500000.0,823900000.0,514600000.0,-23100000.0,23100000.0,2944700000.0,2944700000.0,2416700000.0,199200000.0,197200000.0,14.79,14.932556,2944700000.0,2944700000.0,2944700000.0,2944700000.0,2944700000.0,-2453200000.0,491500000.0,-23100000.0,23100000.0,505800000.0,1450000000.0,92700000.0,1211200000.0,1955800000.0,966700000.0,2922500000.0,2922500000.0,4,2021
2024-12-31,CZMWF,4306932.0,0.252,385970000.0,178726000.0,132771000.0,977497000.0,403061000.0,270290000.0,37852000.0,29424000.0,165941932.0,178726000.0,1871675000.0,88851061.0,88851061.0,2.01,2.01,178726000.0,178726000.0,178726000.0,180154000.0,180154000.0,60712000.0,240866000.0,37852000.0,29424000.0,194452000.0,894178000.0,343089000.0,569208000.0,1088630000.0,977497000.0,2066127000.0,2066127000.0,4,2024
2023-12-31,CZMWF,16493328.0,0.292,445393000.0,290396000.0,74063000.0,883535000.0,501877000.0,427814000.0,27131000.0,15250000.0,250405328.0,290396000.0,1741176000.0,89440570.0,89440570.0,3.25,3.25,290396000.0,290396000.0,290396000.0,292009000.0,292009000.0,120555000.0,412564000.0,27131000.0,15250000.0,348124000.0,857641000.0,349278000.0,504057000.0,1205765000.0,883535000.0,2089300000.0,2089300000.0,4,2023
2022-12-31,CZMWF,0.0,0.267,482851000.0,293909000.0,69769000.0,775238000.0,482851000.0,413082000.0,55240000.0,9593000.0,293909000.0,293909000.0,1505957000.0,89440570.0,89440570.0,3.29,3.29,293909000.0,293909000.0,293909000.0,295911000.0,295911000.0,107578000.0,403489000.0,55240000.0,9593000.0,396879000.0,730719000.0,291365000.0,438060000.0,1127598000.0,775238000.0,1902836000.0,1902836000.0,4,2022
2021-12-31,CZMWF,0.0,0.299,409999000.0,236276000.0,61584000.0,679572000.0,409999000.0,348415000.0,-9460000.0,9365000.0,236276000.0,236276000.0,1273171000.0,89440570.0,89440570.0,2.64,2.64,236276000.0,236276000.0,236276000.0,237519000.0,237519000.0,101531000.0,339050000.0,-9460000.0,9365000.0,373614000.0,593599000.0,232066000.0,363980000.0,967213000.0,679572000.0,1646785000.0,1646785000.0,4,2021
2024-12-31,GKOS,-2988090.0,0.21,-81410000.0,-146372000.0,39922000.0,94027000.0,-95639000.0,-135561000.0,1065000.0,10040000.0,-135131090.0,-146372000.0,491618000.0,52755000.0,52755000.0,-2.77,-2.77,-146372000.0,-146372000.0,-146372000.0,-146372000.0,-146372000.0,771000.0,-145601000.0,1065000.0,10040000.0,-108137000.0,397591000.0,136425000.0,261166000.0,289454000.0,94027000.0,383481000.0,383481000.0,4,2024
2023-12-31,GKOS,-1050000.0,0.21,-77116000.0,-134661000.0,37978000.0,75575000.0,-82116000.0,-120094000.0,-4469000.0,13633000.0,-130711000.0,-134661000.0,438411000.0,48433000.0,48433000.0,-2.78,-2.78,-134661000.0,-134661000.0,-134661000.0,-134661000.0,-134661000.0,934000.0,-133727000.0,-4469000.0,13633000.0,-123700000.0,362836000.0,138768000.0,224068000.0,239136000.0,75575000.0,314711000.0,314711000.0,4,2023
2022-12-31,GKOS,4200000.0,0.21,-68763000.0,-99195000.0,35946000.0,68979000.0,-48763000.0,-84709000.0,-11345000.0,13720000.0,-114995000.0,-99195000.0,385175000.0,47444000.0,47444000.0,-2.09,-2.09,-99195000.0,-99195000.0,-99195000.0,-99195000.0,-99195000.0,766000.0,-98429000.0,-11345000.0,13720000.0,-102313000.0,316196000.0,123271000.0,192925000.0,213883000.0,68979000.0,282862000.0,282862000.0,4,2022
2021-12-31,GKOS,5400000.0,0.27,-21474000.0,-49593000.0,34421000.0,66627000.0,-1474000.0,-35895000.0,-12084000.0,13372000.0,-64193000.0,-49593000.0,346883000.0,46423000.0,46423000.0,-1.07,-1.07,-49593000.0,-49593000.0,-49593000.0,-49593000.0,-49593000.0,326000.0,-49267000.0,-12084000.0,13372000.0,-52872000.0,280256000.0,100999000.0,179257000.0,227384000.0,66627000.0,294011000.0,294011000.0,4,2021
2024-12-31,JNJ,-1122253550.668185,0.157068,31926000000.0,14066000000.0,7339000000.0,27471000000.0,24781000000.0,17442000000.0,577000000.0,755000000.0,20088746449.331814,14066000000.0,66672000000.0,2429400000.0,2406922000.0,5.79,5.843978,14066000000.0,14066000000.0,14066000000.0,14066000000.0,14066000000.0,2621000000.0,16687000000.0,577000000.0,755000000.0,22149000000.0,39201000000.0,17232000000.0,21969000000.0,61350000000.0,27471000000.0,88821000000.0,88821000000.0,4,2024
2023-12-31,JNJ,-1037542955.782765,0.115257,32322000000.0,13326000000.0,7486000000.0,26553000000.0,23320000000.0,15834000000.0,489000000.0,772000000.0,21290457044.217236,35153000000.0,61750000000.0,2560400000.0,2533500000.0,13.72,13.88,35153000000.0,35153000000.0,35153000000.0,35153000000.0,13326000000.0,1736000000.0,15062000000.0,489000000.0,772000000.0,23409000000.0,35197000000.0,15085000000.0,20112000000.0,58606000000.0,26553000000.0,85159000000.0,85159000000.0,4,2023
